Actual,Predicted
1000,978.8282
1000,1117.8378
1000,959.13556
1000,966.9175
1000,787.70325
1000,771.8389
1000,948.25604
1000,978.8282
1000,959.13556
1000,1008.10547
150,163.97374
600,488.07944
1000,783.50385
700,607.44775
111,147.27925
200,213.55263
500,466.66302
300,306.03424
200,193.47177
264,277.1578
207,261.21774
400,330.51334
200,208.03209
145,198.48322
213,196.28557
110,108.28225
102,112.10934
215,239.15158
140,138.89641
180,191.36363
236,191.36363
175,191.36363
1000,666.5593
107,131.25644
600,597.59924
600,641.1083
600,690.69495
200,192.70953
300,264.7621
101,135.98676
1000,867.7791
103,174.91888
321,174.91888
104,116.84662
129,131.83911
129,131.83911
128,131.83911
150,154.16386
231,216.30841
1000,973.44946
102,129.335
103,104.106384
300,317.12988
300,284.94278
107,126.68685
200,203.13983
400,322.4593
200,203.08757
400,335.81052
125,124.11737
125,124.11737
125,124.11737
125,124.11737
200,188.93776
111,136.02725
300,291.54413
300,291.54413
150,171.7827
1000,894.2239
115,159.02756
200,197.78065
142,148.88454
1000,595.0492
185,181.04791
186,181.04791
186,181.04791
186,181.04791
200,213.51222
200,206.84824
200,215.75227
600,473.15027
200,224.90327
137,154.95726
120,134.04025
300,262.1616
300,255.3117
128,140.60541
110,120.73836
110,120.73836
137,139.67499
1000,848.83185
300,261.74393
158,156.86179
158,169.86029
300,187.45688
150,187.45688
207,230.5453
200,187.22786
150,153.20023
150,153.20023
122,138.62344
126,138.62344
404,329.1979
