,precision,recall,f1-score,support
Battles,0.5714646146083008,0.6943947677686373,0.6269606938549548,19571.0
Explosions/Remote violence,0.6263269639065817,0.10118333047504716,0.1742211723017865,5831.0
Protests,0.9985088323009864,0.9867377012015416,0.992588369441277,17644.0
Riots,0.9817843866171003,0.9776653504442251,0.9797205391368864,8104.0
Strategic developments,0.6529503105590062,0.12255902069367532,0.20638036809815952,6862.0
Violence against civilians,0.5535742779639381,0.7471598557045173,0.6359615957471185,18573.0
accuracy,0.7081151661552524,0.7081151661552524,0.7081151661552524,0.7081151661552524
macro avg,0.7307682309926523,0.604950004381274,0.6026387897633637,76585.0
weighted avg,0.7204073526275646,0.7081151661552524,0.6785521007823341,76585.0
