Actual,Predicted
20,24.392332
27,23.738222
30,24.277132
70,31.999184
20,24.259403
35,19.936571
12,17.057177
24,20.493052
32,21.274546
30,32.311718
11,22.438793
30,18.82505
15,16.521051
13,17.848082
50,25.664753
14,18.791563
50,26.38043
16,20.170132
12,16.255783
14,19.570473
21,19.671518
30,24.102283
20,19.865826
50,25.76278
22,18.854496
15,21.549242
13,22.904314
19,23.85679
20,23.85679
13,25.978155
20,18.372625
19,18.586922
47,23.738222
18,17.858637
12,18.372625
19,17.42728
16,24.392332
16,18.372625
12,20.251596
16,20.251596
22,19.25324
11,20.015303
60,21.350773
12,21.350773
25,19.237066
64,24.087368
13,20.02496
22,20.96394
11,19.752024
15,21.216808
30,22.230318
14,17.236681
13,18.044682
61,23.13014
20,24.399889
15,17.308136
15,16.2082
13,15.98876
27,25.978155
15,17.730467
31,23.54587
21,19.152807
12,16.95468
20,22.981806
12,22.736486
17,17.155931
18,23.561039
50,29.181932
11,18.2937
13,21.426468
19,18.268429
33,19.974918
19,16.94825
24,26.434875
16,18.791563
17,18.791563
17,18.791563
13,20.339523
15,17.308136
42,20.054611
12,23.206633
20,23.206633
31,19.569319
16,19.026253
17,19.026253
17,19.026253
20,19.853386
47,19.103373
20,24.076712
17,17.535799
73,21.379566
11,13.879435
20,17.2456
12,17.00607
20,22.363234
20,17.764723
11,15.873838
13,20.25149
20,21.96946
21,22.653048
20,24.508812
20,24.508812
47,24.508812
30,20.587793
13,21.170351
20,24.508812
67,31.893024
55,31.893024
11,18.136448
11,19.695555
29,18.936539
15,21.335
11,18.332912
42,22.707998
20,16.803257
22,22.584257
23,22.584257
11,14.756702
67,27.565088
13,19.574244
21,16.243126
11,21.382006
21,26.928377
12,15.75606
23,22.88069
53,25.179277
14,18.059748
16,20.917162
36,21.157663
24,21.157663
12,17.85117
12,15.224386
12,17.775612
11,18.76631
12,18.150328
20,22.342121
44,27.90336
43,27.90336
43,27.90336
13,19.122349
16,19.345089
15,19.282845
27,21.19867
22,17.911491
13,23.487162
17,18.846199
15,19.600563
13,16.370731
15,18.233149
14,24.115818
34,21.493576
14,23.566345
12,18.136448
15,17.326937
20,21.379566
24,18.150328
50,21.480703
17,20.863636
15,18.79287
18,17.1569
12,20.92171
60,22.796312
29,21.386019
30,19.623478
16,17.347366
20,21.427452
25,17.373793
12,19.423723
